gene id	miRNA
55870	hsa-miR-302a-3p
55870	hsa-miR-520f-3p
128239	hsa-miR-520f-3p
128239	hsa-miR-520c-3p
128239	hsa-miR-21-5p
128239	hsa-miR-137
922	hsa-miR-30e-3p
922	hsa-miR-27a-3p
922	hsa-miR-139-5p
83417	hsa-miR-27a-3p
3428	hsa-let-7f-5p
3428	hsa-miR-302a-3p
3428	hsa-miR-372-3p
3428	hsa-miR-27a-3p
6708	hsa-miR-27a-3p
6708	hsa-miR-23b-3p
844	hsa-miR-27a-3p
844	hsa-miR-23b-3p
1314	hsa-miR-27b-3p
3766	hsa-miR-17-3p
57549	hsa-miR-374a-5p
57549	hsa-miR-23b-3p
51744	hsa-miR-27a-3p
9722	hsa-miR-374a-5p
9722	hsa-miR-23b-3p
22926	hsa-miR-10a-5p
83540	hsa-miR-21-5p
83540	hsa-miR-137
4921	hsa-miR-27a-3p
6258	hsa-miR-27a-3p
6258	hsa-miR-137
6258	hsa-miR-497-5p
149297	hsa-miR-27a-3p
149297	hsa-miR-137
92241	hsa-miR-30e-3p
92241	hsa-miR-455-5p
92241	hsa-miR-139-5p
84944	hsa-miR-27a-3p
5451	hsa-miR-374a-5p
55827	hsa-miR-520c-3p
55827	hsa-miR-23b-3p
1805	hsa-miR-30e-3p
1805	hsa-miR-30a-3p
1805	hsa-miR-30d-5p
1805	hsa-miR-27a-3p
1805	hsa-miR-139-5p
261726	hsa-miR-302a-3p
29922	hsa-miR-98-5p
29922	hsa-miR-520f-3p
8548	hsa-miR-100-5p
8548	hsa-miR-302a-3p
8548	hsa-miR-374a-5p
22920	hsa-miR-23b-3p
2327	hsa-miR-27a-3p
8674	hsa-miR-199a-5p
2329	hsa-let-7d-5p
2329	hsa-miR-30b-5p
2329	hsa-miR-374a-5p
2329	hsa-miR-137
2329	hsa-miR-23b-3p
55157	hsa-miR-374a-5p
149041	hsa-miR-374a-5p
149041	hsa-miR-139-5p
9910	hsa-miR-30a-3p
9910	hsa-miR-30d-5p
9910	hsa-miR-374a-5p
27101	hsa-miR-10a-5p
27101	hsa-miR-10b-5p
